"Id","SeatId","SeasonalTicketId"
"01ec2ba3-0cb2-4e48-991b-2145c1882849","8a6ffffa-e900-48fe-a31f-dfed60357a1f","179b2f50-e7ae-4793-bcd3-82e34da35011"
"012142f7-36ed-452d-b26b-125e13c7bce2",ec492a03-911d-45a6-a687-e2001e238c4c,"179b2f50-e7ae-4793-bcd3-82e34da35011"
"0a8b7eb6-ce02-42c1-b939-455912d6077f","18c2e83b-456c-4f97-852a-9296f913373a","179b2f50-e7ae-4793-bcd3-82e34da35011"
"0b117ce6-3c85-402e-acc9-89f90f503444","03dda248-003d-4d9b-9e50-c8d4d84512bf","179b2f50-e7ae-4793-bcd3-82e34da35011"
"3d1a5f59-b41d-411d-8c68-2ff9bcdc1aee",cc859438-ef21-4dae-a081-b2d243aa8f5e,"179b2f50-e7ae-4793-bcd3-82e34da35011"
"42f211a4-febd-4086-88fe-ea6f9e94c446",c02a7e49-e564-4692-b748-5cf9ff1ca41d,"179b2f50-e7ae-4793-bcd3-82e34da35011"
"48e112b7-8d98-47a4-8d65-08c7fea06e95","3dc6a1c0-eb3c-4461-9251-6cbd24a686ba","179b2f50-e7ae-4793-bcd3-82e34da35011"
"4c65d9f0-8c4a-494c-b98b-eeb277020e7e","9a875176-cb94-428f-87fc-cb64c280e24a","179b2f50-e7ae-4793-bcd3-82e34da35011"
"4f4f41d3-72b4-472d-b12a-68c175a98dec","3dddfc0c-3566-4f43-b4b7-678a46142b77","179b2f50-e7ae-4793-bcd3-82e34da35011"
"52262720-f65e-4188-a611-c91bc1dca83b","986445b8-d92c-49d7-8747-9c76dd611706","179b2f50-e7ae-4793-bcd3-82e34da35011"
"523c2221-bfe7-4f7c-a4a5-37cb78ada522",d91549d7-1c6e-43c7-b235-fb991c8ea8de,"179b2f50-e7ae-4793-bcd3-82e34da35011"
"54ce9ac7-6bc8-4bc6-a4bb-62277c432b53","4d90c438-4d8a-4449-8a0c-d505e08fb719","179b2f50-e7ae-4793-bcd3-82e34da35011"
"5bfe5627-b60b-40dc-b137-f2268047c24e",daedee20-d0ec-4381-bac1-0ae345f5541c,"179b2f50-e7ae-4793-bcd3-82e34da35011"
"62ff0b1c-a873-41b7-adf8-9c3819334b98","9129ac65-2185-482c-9b75-72e44b2ff570","179b2f50-e7ae-4793-bcd3-82e34da35011"
"6969f4e7-e8b2-4325-b25b-0b411c3f0357","50e26f50-5ef8-4558-952f-9bfa48739d12","179b2f50-e7ae-4793-bcd3-82e34da35011"
"71594cf0-5a29-454d-9744-d4c01b6b4641","861fd054-4ad1-49f5-bc74-827861e4517b","179b2f50-e7ae-4793-bcd3-82e34da35011"
"74088e22-3241-43e3-bfb5-7c925a305d08","6c6d4494-7426-48f5-802f-bab946dda4fd","179b2f50-e7ae-4793-bcd3-82e34da35011"
"78c51e75-ed5b-436e-854f-85ca4accbbdd","8d3bd0a3-5cb3-46c2-882b-d43c31cfbb2b","179b2f50-e7ae-4793-bcd3-82e34da35011"
"843321bd-2dbf-4f00-bbbe-f5a081267191","608d1bec-63a7-4fce-9200-77e5e58e6cab","179b2f50-e7ae-4793-bcd3-82e34da35011"
"8f7952f7-1608-4056-91ba-ac7847090e2d","3e945a4c-0bc1-46da-b7d1-8ff26177f7a5","179b2f50-e7ae-4793-bcd3-82e34da35011"
"97506707-c2ed-4a93-b3be-bc41bfb038dc","501feda5-cc91-4419-b3ef-6fda55b9d9d7","179b2f50-e7ae-4793-bcd3-82e34da35011"
"9bcead64-80df-4029-992e-8249a76f03f5",eba941d0-3ef8-405a-abca-e8a98dd9a909,"179b2f50-e7ae-4793-bcd3-82e34da35011"
a81cc901-7fc9-4ea8-9783-61ca12bcb05a,cdb51158-9221-435f-8a10-6bd4301b4c19,"179b2f50-e7ae-4793-bcd3-82e34da35011"
b1e4be14-f149-4cee-a912-dd6628727b30,"6cb9b1bd-4941-499f-8b31-62ba8e21b86d","179b2f50-e7ae-4793-bcd3-82e34da35011"
b5c9556c-9388-44fc-8813-3d3d03970037,"53930bda-54a9-49e9-a74a-2f1462a6cb8f","179b2f50-e7ae-4793-bcd3-82e34da35011"
c353ca05-68e7-497e-98f2-7a8fecb7623c,"1625b99b-22aa-4974-a8c8-8728548c29ae","179b2f50-e7ae-4793-bcd3-82e34da35011"
